OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
16755,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441823.69,4482536.4,-368648756,40.49148981,
16757,,ORGANICA,O0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437766.23,4473278.69,-373345523,40.40779873,
16758,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,ENTREVIAS,,,,443072.19,4470077.15,-367063996,40.37933718,
16760,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS SURESTE,,,,445289.5767,4470400.195,-364454730,40.3823959,
16761,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS BAJAS,,,,444093.23,4471133.12,-365870499,40.38891912,
16763,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441561.13,4483125.01,-368963987,40.49677379,
16764,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PORTAZGO,,,,445167.71,4471365.63,-364606603,40.39108514,
16766,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441642.83,4481875.6,-368856074,40.48552437,
16769,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,VALVERDE,,,,441588.77,4482059.46,-368921550,40.48717685,
16770,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS SURESTE,,,,444836.49,4470089.84,-364985796,40.37957016,
16772,,ORGANICA,O0800CT,,,1,FUENCARRAL-EL PARDO,PEÑAGRANDE,,,,437900.37,4481053.14,-373263443,40.4778439,
16775,,ORGANICA,O0800CT,,,1,LATINA,PUERTA DEL ANGEL,,,,437582.89,4473089.88,-373559729,40.40608412,
16776,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS BAJAS,,,,444393.22,4471137.0,-365517100,40.38897416,
16778,,ORGANICA,O0800CT,,,2,CHAMARTIN,CASTILLA,,,,441821.0,4480172.0,-368630235,40.47019015,
16779,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PORTAZGO,,,,445358.47,4471545.62,-364383396,40.39271913,
16781,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PALOMERAS SURESTE,,,,445154.3545,4470349.469,-364613590,40.38193004,
16782,,ORGANICA,O3200CL,,,3,PUENTE DE VALLECAS,PORTAZGO,,,,444581.21,4470628.87,-365291200,40.38440914,
16784,,ORGANICA,O0800CT,,,2,CIUDAD LINEAL,VENTAS,,,,444719.3572,4474974.198,-365166193,40.42356359,
