OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
6532,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434299.26,4485316.16,-377555784,40.51596894,
6533,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,433860.71,4487160.39,-378092700,40.53254718,
6535,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441805.0,4480433.0,-368651502,40.47254023,
6537,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434376.25,4485364.64,-377465413,40.51641175,
6538,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,433734.62,4487394.75,-378244021,40.53464825,
6540,,RESTO,R0800CT,,,2,CHAMARTIN,CASTILLA,,,,441953.0,4480897.0,-368481168,40.47673049,
6542,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434376.25,4485364.64,-377465413,40.51641175,
6543,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,433734.62,4487394.75,-378244021,40.53464825,
6546,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434087.21,4485599.38,-377809024,40.51850341,
6547,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434042.98,4486042.66,-377865853,40.52249303,
6550,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434121.35,4485478.11,-377767464,40.5174137,
6551,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434042.98,4486042.66,-377865853,40.52249303,
6555,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434121.35,4485478.11,-377767464,40.5174137,
6557,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434345.36,4485340.11,-377501619,40.51618834,
6559,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434250.35,4485637.77,-377616856,40.51886218,
6561,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,434345.36,4485340.11,-377501619,40.51618834,
6563,,RESTO,R0800CT,,,1,FUENCARRAL-EL PARDO,EL PARDO,,,,433892.66,4487038.29,-378053703,40.53144983,
