mes,año,distrito,suma_residuos
JULIO,2023,SAN BLAS,129.70000000000002
JULIO,2023,BARAJAS,950.9799999999999
JULIO,2023,PUENTE DE VALLECAS ,512.7610000000001
JULIO,2023,VILLA DE VALLECAS ,244.447
JULIO,2023,MORATALAZ,151.441
JULIO,2023,VICÁLVARO,100.96199999999999
JULIO,2023,CARABANCHEL,226.671
JULIO,2023,USERA,186.442
JULIO,2023,VILLAVERDE,166.10700000000003
AGOSTO,2023,CENTRO ,625.68
AGOSTO,2023,TETUÁN,532.74
AGOSTO,2023,CHAMBERÍ,1126.3
AGOSTO,2023,ARGANZUELA,291.15999999999997
AGOSTO,2023,RETIRO,189.04
AGOSTO,2023,SALAMANCA,518.02
AGOSTO,2023,CHAMARTÍN,426.98
AGOSTO,2023,FUENCARRAL,114.0
AGOSTO,2023,MONCLOA,825.76
AGOSTO,2023,LATINA,732.4399999999999
AGOSTO,2023,CIUDAD LINEAL,214.50400000000002
AGOSTO,2023,HORTALEZA,253.588
AGOSTO,2023,SAN BLAS,180.42
AGOSTO,2023,BARAJAS,73.16799999999999
AGOSTO,2023,PUENTE DE VALLECAS ,809.395
AGOSTO,2023,VILLA DE VALLECAS ,512.966
AGOSTO,2023,MORATALAZ,265.072
AGOSTO,2023,VICÁLVARO,176.715
AGOSTO,2023,CARABANCHEL,256.151
AGOSTO,2023,USERA,151.99800000000002
AGOSTO,2023,VILLAVERDE,174.92100000000002
SEPTIEMBRE,2023,CENTRO ,1031.91
SEPTIEMBRE,2023,TETUÁN,697.64
SEPTIEMBRE,2023,CHAMBERÍ,613.86
SEPTIEMBRE,2023,ARGANZUELA,290.96
SEPTIEMBRE,2023,RETIRO,862.54
SEPTIEMBRE,2023,SALAMANCA,498.3
SEPTIEMBRE,2023,CHAMARTÍN,716.2
SEPTIEMBRE,2023,FUENCARRAL,224.98000000000002
SEPTIEMBRE,2023,MONCLOA,197.48
SEPTIEMBRE,2023,LATINA,1101.78
SEPTIEMBRE,2023,CIUDAD LINEAL,364.06
SEPTIEMBRE,2023,HORTALEZA,320.623
SEPTIEMBRE,2023,SAN BLAS,257.186
SEPTIEMBRE,2023,BARAJAS,106.87400000000001
SEPTIEMBRE,2023,PUENTE DE VALLECAS ,671.421
SEPTIEMBRE,2023,VILLA DE VALLECAS ,375.289
SEPTIEMBRE,2023,MORATALAZ,212.302
SEPTIEMBRE,2023,VICÁLVARO,141.534
SEPTIEMBRE,2023,CARABANCHEL,236.632
SEPTIEMBRE,2023,USERA,140.465
SEPTIEMBRE,2023,VILLAVERDE,161.613
OCTUBRE,2023,CENTRO ,837.58
OCTUBRE,2023,TETUÁN,447.736
OCTUBRE,2023,CHAMBERÍ,576.38
OCTUBRE,2023,ARGANZUELA,630.3480000000001
OCTUBRE,2023,RETIRO,892.18
OCTUBRE,2023,SALAMANCA,775.48
OCTUBRE,2023,CHAMARTÍN,691.4599999999999
OCTUBRE,2023,FUENCARRAL,762.96
OCTUBRE,2023,MONCLOA,599.4
OCTUBRE,2023,LATINA,185.38
OCTUBRE,2023,CIUDAD LINEAL,525.1600000000001
OCTUBRE,2023,HORTALEZA,447.28
OCTUBRE,2023,SAN BLAS,362.14000000000004
OCTUBRE,2023,BARAJAS,185.76
OCTUBRE,2023,PUENTE DE VALLECAS ,852.758
OCTUBRE,2023,VILLA DE VALLECAS ,458.152
OCTUBRE,2023,MORATALAZ,262.182
OCTUBRE,2023,VICÁLVARO,174.788
OCTUBRE,2023,CARABANCHEL,282.174
OCTUBRE,2023,USERA,167.058
OCTUBRE,2023,VILLAVERDE,192.52800000000002
NOVIEMBRE,2023,CENTRO ,738.856
NOVIEMBRE,2023,TETUÁN,706.88
NOVIEMBRE,2023,CHAMBERÍ,372.63
NOVIEMBRE,2023,ARGANZUELA,347.35999999999996
NOVIEMBRE,2023,RETIRO,731.816
NOVIEMBRE,2023,SALAMANCA,887.78
NOVIEMBRE,2023,CHAMARTÍN,555.1400000000001
NOVIEMBRE,2023,FUENCARRAL,408.09999999999997
NOVIEMBRE,2023,MONCLOA,309.36
NOVIEMBRE,2023,LATINA,1009.24
NOVIEMBRE,2023,CIUDAD LINEAL,699.888
NOVIEMBRE,2023,HORTALEZA,599.904
NOVIEMBRE,2023,SAN BLAS,499.92
NOVIEMBRE,2023,BARAJAS,199.96800000000002
NOVIEMBRE,2023,PUENTE DE VALLECAS ,755.403
NOVIEMBRE,2023,VILLA DE VALLECAS ,372.159
NOVIEMBRE,2023,MORATALAZ,281.16200000000003
NOVIEMBRE,2023,VICÁLVARO,167.636
NOVIEMBRE,2023,CARABANCHEL,424.727
NOVIEMBRE,2023,USERA,250.33900000000003
NOVIEMBRE,2023,VILLAVERDE,289.314
DICIEMBRE,2023,CENTRO ,750.4399999999999
DICIEMBRE,2023,TETUÁN,597.5600000000001
DICIEMBRE,2023,CHAMBERÍ,674.24
DICIEMBRE,2023,ARGANZUELA,403.412
DICIEMBRE,2023,RETIRO,1069.0800000000002
DICIEMBRE,2023,SALAMANCA,917.43
DICIEMBRE,2023,CHAMARTÍN,909.58
DICIEMBRE,2023,FUENCARRAL,524.8
DICIEMBRE,2023,MONCLOA,294.08
DICIEMBRE,2023,LATINA,374.66
DICIEMBRE,2023,CIUDAD LINEAL,585.8259999999999
DICIEMBRE,2023,HORTALEZA,505.708
DICIEMBRE,2023,SAN BLAS,420.59
DICIEMBRE,2023,BARAJAS,170.23600000000002
DICIEMBRE,2023,PUENTE DE VALLECAS ,1271.4379999999999
DICIEMBRE,2023,VILLA DE VALLECAS ,474.579
DICIEMBRE,2023,MORATALAZ,408.67699999999996
DICIEMBRE,2023,VICÁLVARO,244.966
DICIEMBRE,2023,CARABANCHEL,460.49199999999996
DICIEMBRE,2023,USERA,261.38500000000005
DICIEMBRE,2023,VILLAVERDE,313.66100000000006
ENERO,2024,CENTRO ,646.791
ENERO,2024,TETUÁN,1087.54
ENERO,2024,CHAMBERÍ,756.36
ENERO,2024,ARGANZUELA,293.627
ENERO,2024,RETIRO,743.8679999999999
ENERO,2024,SALAMANCA,839.38
ENERO,2024,CHAMARTÍN,286.76700000000005
ENERO,2024,FUENCARRAL,313.44
ENERO,2024,MONCLOA,50.900000000000006
ENERO,2024,LATINA,301.91999999999996
ENERO,2024,CIUDAD LINEAL,441.69000000000005
ENERO,2024,HORTALEZA,382.02000000000004
ENERO,2024,SAN BLAS,318.35
ENERO,2024,BARAJAS,131.34
ENERO,2024,PUENTE DE VALLECAS,711.4939999999999
ENERO,2024,VILLA DE VALLECAS,428.143
ENERO,2024,MORATALAZ,261.87600000000003
ENERO,2024,VICÁLVARO,155.77599999999998
ENERO,2024,CARABANCHEL,415.945
ENERO,2024,USERA,246.423
ENERO,2024,VILLAVERDE,283.872
FEBRERO,2024,CENTRO ,600.0699999999999
FEBRERO,2024,TETUÁN,949.725
FEBRERO,2024,CHAMBERÍ,464.659
FEBRERO,2024,ARGANZUELA,1003.49
FEBRERO,2024,RETIRO,733.425
FEBRERO,2024,SALAMANCA,630.91
FEBRERO,2024,CHAMARTÍN,523.351
FEBRERO,2024,FUENCARRAL,271.98
FEBRERO,2024,MONCLOA,13.08
FEBRERO,2024,LATINA,182.00000000000003
FEBRERO,2024,CIUDAD LINEAL,392.333
FEBRERO,2024,HORTALEZA,334.414
FEBRERO,2024,SAN BLAS,277.54499999999996
FEBRERO,2024,BARAJAS,107.738
FEBRERO,2024,PUENTE DE VALLECAS ,552.402
FEBRERO,2024,VILLA DE VALLECAS ,325.88500000000005
FEBRERO,2024,MORATALAZ,177.39
FEBRERO,2024,VICÁLVARO,838.576
FEBRERO,2024,CARABANCHEL,340.249
FEBRERO,2024,USERA,189.02800000000002
FEBRERO,2024,VILLAVERDE,226.833
MARZO,2024,CENTRO ,665.7600000000001
MARZO,2024,TETUÁN,626.3799999999999
MARZO,2024,CHAMBERÍ,716.1200000000001
MARZO,2024,ARGANZUELA,287.33
MARZO,2024,RETIRO,670.34
MARZO,2024,SALAMANCA,520.8199999999999
MARZO,2024,CHAMARTÍN,806.34
MARZO,2024,FUENCARRAL,339.4
MARZO,2024,MONCLOA,56.2
MARZO,2024,LATINA,1124.54
MARZO,2024,CIUDAD LINEAL,371.761
MARZO,2024,HORTALEZA,295.34
MARZO,2024,SAN BLAS,273.648
MARZO,2024,BARAJAS,152.84300000000002
MARZO,2024,PUENTE DE VALLECAS ,403.486
MARZO,2024,VILLA DE VALLECAS ,148.26999999999998
MARZO,2024,MORATALAZ,110.351
MARZO,2024,VICÁLVARO,73.568
MARZO,2024,CARABANCHEL,202.315
MARZO,2024,USERA,191.46300000000002
MARZO,2024,VILLAVERDE,168.76199999999997
