OBJECTID,Codigo_Interno_del_Situad,Tipo_Contenedor,Modelo,Descripcion_Modelo,Cantidad,Lote,Distrito,Barrio,Tipo_Via,Nombre,Numero,Coordenada_X,Coordenada_Y,Longitud,Latitud,Direccion
1402,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434367.96,4471680.84,-377333739,40.39314375,
1403,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432337.93,4469734.51,-379704822,40.37544813,
1404,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434367.96,4471680.84,-377333739,40.39314375,
1405,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434236.32,4471979.35,-377491918,40.39582245,
1406,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434704.29,4472183.44,-376942631,40.39769779,
1407,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434135.39,4472005.07,-377611104,40.39604617,
1408,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434704.29,4472183.44,-376942631,40.39769779,
1409,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434665.19,4472248.58,-376989370,40.39828153,
1410,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434665.19,4472248.58,-376989370,40.39828153,
1411,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432546.86,4470035.78,-379461916,40.37817901,
1412,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432546.86,4470035.78,-379461916,40.37817901,
1413,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432351.26,4470067.37,-379692654,40.37844773,
1414,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432351.26,4470067.37,-379692654,40.37844773,
1415,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432764.9,4470097.59,-379205734,40.37875344,
1416,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434774.27,4472211.26,-376860461,40.39795389,
1417,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434774.27,4472211.26,-376860461,40.39795389,
1418,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,433925.43,4471870.94,-377857095,40.39482125,
1419,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432312.73,4470028.74,-379737629,40.37809661,
1420,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432312.73,4470028.74,-379737629,40.37809661,
1421,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434463.24,4471987.29,-377224634,40.39591186,
1422,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434463.24,4471987.29,-377224634,40.39591186,
1423,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432706.01,4470315.53,-379277404,40.38071196,
1424,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432706.01,4470315.53,-379277404,40.38071196,
1425,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434720.69,4472252.4,-376924015,40.39832029,
1426,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434811.89,4472292.78,-376816969,40.39869119,
1427,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434226.89,4472014.16,-377503389,40.39613529,
1428,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434382.82,4472225.03,-377321838,40.39804718,
1429,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434811.89,4472292.78,-376816969,40.39869119,
1430,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434865.65,4472234.93,-376753032,40.39817427,
1431,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434865.65,4472234.93,-376753032,40.39817427,
1432,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434359.55,4472252.48,-377349540,40.39829263,
1433,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434359.55,4472252.48,-377349540,40.39829263,
1434,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434594.1,4472104.02,-377071649,40.3969737,
1435,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434342.19,4472337.39,-377370871,40.39905616,
1436,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434342.19,4472337.39,-377370871,40.39905616,
1437,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434645.21,4471987.09,-377010228,40.39592436,
1438,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434724.25,4472111.39,-376918374,40.3970503,
1439,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434248.29,4471755.65,-377475505,40.39380823,
1440,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434248.29,4471755.65,-377475505,40.39380823,
1441,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434299.74,4471804.36,-377415389,40.39425108,
1442,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434304.89,4472231.54,-377413729,40.39809968,
1443,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434299.74,4471804.36,-377415389,40.39425108,
1444,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432506.5,4470233.81,-379511555,40.37995967,
1445,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432675.15,4470116.07,-379311649,40.37891267,
1446,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434486.2,4472218.69,-377199963,40.39799821,
1447,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434277.79,4471996.54,-377443234,40.39598058,
1448,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434569.17,4472035.4,-377100318,40.39635359,
1449,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432565.22,4469879.25,-379438634,40.37677042,
1450,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432867.99,4470198.48,-379085363,40.3796706,
1451,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434429.31,4472163.68,-377266429,40.39749818,
1452,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434209.19,4471854.23,-377522591,40.39469318,
1453,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434046.5,4472106.11,-377716884,40.39694934,
1454,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432424.37,4470139.11,-379607296,40.37909992,
1455,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432424.37,4470139.11,-379607296,40.37909992,
1456,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434405.72,4472066.21,-377293220,40.39661828,
1457,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434405.72,4472066.21,-377293220,40.39661828,
1458,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434289.74,4472236.54,-377431631,40.39814353,
1459,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434289.74,4472236.54,-377431631,40.39814353,
1460,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434301.5,4471948.99,-377414808,40.3955541,
1461,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434301.5,4471948.99,-377414808,40.3955541,
1462,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434265.45,4471834.98,-377456106,40.39452421,
1463,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434189.4,4472323.03,-377550754,40.39891474,
1464,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432935.45,4470482.86,-379008892,40.38223783,
1465,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434189.4,4472323.03,-377550754,40.39891474,
1466,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432935.45,4470482.86,-379008892,40.38223783,
1467,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434265.45,4471834.98,-377456106,40.39452421,
1468,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432393.77,4469707.01,-379638758,40.37520493,
1469,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434243.13,4472334.58,-377487563,40.39902303,
1470,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434243.13,4472334.58,-377487563,40.39902303,
1471,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434376.92,4472095.94,-377327460,40.39688383,
1472,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432706.7,4470431.68,-379277818,40.38175834,
1473,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434376.92,4472095.94,-377327460,40.39688383,
1474,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432706.7,4470431.68,-379277818,40.38175834,
1475,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432815.09,4470146.03,-379147124,40.37919385,
1476,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432815.09,4470146.03,-379147124,40.37919385,
1477,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434311.64,4471838.6,-377401722,40.39456047,
1478,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434639.47,4471979.56,-377016914,40.39585608,
1479,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432582.01,4470227.12,-379422537,40.37990551,
1480,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434431.46,4472310.27,-377265405,40.39881888,
1481,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432582.01,4470227.12,-379422537,40.37990551,
1482,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434515.68,4471942.94,-377162391,40.39551647,
1483,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434729.96,4472143.25,-376911973,40.39733776,
1484,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434547.55,4471877.35,-377124167,40.39492812,
1485,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434547.55,4471877.35,-377124167,40.39492812,
1486,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432659.97,4469971.61,-379328003,40.37761009,
1487,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432794.02,4470126.3,-379171735,40.37901442,
1488,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434414.35,4471894.36,-377281281,40.39507087,
1489,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432711.44,4470023.03,-379267919,40.37807746,
1490,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,433959.83,4471789.74,-377815723,40.3940925,
1491,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434838.94,4472170.98,-376783849,40.39759609,
1492,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,433959.83,4471789.74,-377815723,40.3940925,
1493,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434838.94,4472170.98,-376783849,40.39759609,
1494,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432261.4,4469992.97,-379797711,40.37777021,
1495,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432261.4,4469992.97,-379797711,40.37777021,
1496,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432464.66,4470178.61,-379560255,40.37945902,
1497,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434435.91,4472267.95,-377259726,40.398438,
1498,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,432440.93,4469754.98,-379583718,40.37564089,
1499,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434435.91,4472267.95,-377259726,40.398438,
1500,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434272.93,4472160.18,-377450650,40.39745432,
1501,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434639.568,4472329.265,-377020388,40.39900636,
1502,,ENVASES,E0800CT,,,1,LATINA,CAMPAMENTO,,,,434639.7539,4472329.437,-377020171,40.39900793,
